loss, reconstruction_loss, kl_loss, val_loss, val_reconstruction_loss, val_kl_loss
1675.9505, 1002.9617, 414.8089, 781.4994, 781.0959, 40.3375
784.4542, 774.4954, 37.1629, 774.9043, 774.3610, 54.3310
771.2930, 769.7966, 39.8996, 780.0120, 779.4977, 51.4203
773.6748, 776.3980, 138.6808, 772.6767, 772.0497, 62.6999
779.9225, 772.0482, 74.6855, 777.9141, 776.8856, 102.8505
779.5081, 766.7511, 53.7172, 769.4719, 769.2106, 26.1152
777.8617, 762.9796, 55.5602, 768.6990, 767.8120, 88.7083
759.8943, 766.6834, 100.5403, 780.9135, 780.0157, 89.7794
777.1681, 766.0634, 69.9519, 772.9268, 772.1577, 76.9175
755.9422, 762.6740, 68.1170, 764.5524, 763.8260, 72.6327
748.6401, 748.9741, 82.6540, 764.4551, 763.7297, 72.5511
737.1805, 730.9601, 115.2011, 766.8366, 766.1968, 63.9837
715.7557, 702.6481, 161.8870, 766.5622, 765.5140, 104.8216
678.3453, 666.1690, 186.3352, 769.8558, 768.7803, 107.5466
630.7152, 627.0732, 232.3829, 780.4328, 779.0249, 140.7819
621.6278, 671.8742, 1029.5391, 779.7347, 774.8846, 485.0223
732.2422, 681.5206, 380.8177, 825.6229, 822.5969, 302.6100
591.5963, 578.4583, 311.6103, 804.4769, 802.7549, 172.1854